sex     genotype        numReads        RSC
NA19119_H3K4ME3 male    S       49995150        2.343734
NA19127_H3K27AC female  I       49996717        1.525745
NA19127_H3K4ME1 female  I       45105101        1.253537
NA19127_H3K4ME3 female  I       49999233        2.283207
NA19128_H3K27AC male    I       49997404        1.556205
NA19128_H3K4ME1 male    I       44117926        1.309731
NA19128_H3K4ME3 male    I       50001221        2.349915
NA19130_H3K27AC male    S       50001778        1.509074
NA19130_H3K4ME1 male    S       49037725        1.228709
NA19130_H3K4ME3 male    S       49999331        2.189146
NA19131_H3K27AC female  S       49999482        1.501588
NA19131_H3K4ME1 female  S       48935305        1.199232
NA19131_H3K4ME3 female  S       50000676        2.018757
NA19137_H3K27AC female  S       36603343        1.42707
NA19137_H3K4ME1 female  S       36722771        1.206105
NA19137_H3K4ME3 female  S       50000523        2.138594
NA19138_H3K27AC male    S       48813865        1.444284
NA19138_H3K4ME1 male    S       45795593        1.214509
NA19138_H3K4ME3 male    S       49997995        2.118116
NA19140_H3K27AC female  I       47341090        1.525789
NA19140_H3K4ME1 female  I       35426586        1.285865
NA19140_H3K4ME3 female  I       46883993        2.363396
NA19141_H3K27AC male    I       49999677        1.410409
NA19141_H3K4ME1 male    I       38280555        1.22194
NA19141_H3K4ME3 male    I       49177667        2.057618
NA19143_H3K27AC female  seqCG   49998635        1.482535
NA19143_H3K4ME1 female  seqCG   43792930        1.271096
NA19143_H3K4ME3 female  seqCG   49999359        2.41211
NA19144_H3K27AC male    seqCG   50000785        1.498655
NA19144_H3K4ME1 male    seqCG   42968944        1.26533
NA19144_H3K4ME3 male    seqCG   50008328        2.434229
NA19147_H3K27AC female  S       50002471        1.483307
NA19147_H3K4ME1 female  S       47647740        1.245585
NA19147_H3K4ME3 female  S       50013615        2.291706
NA19152_H3K27AC female  S       49870819        1.584555
NA19152_H3K4ME1 female  S       40839270        1.292336
NA19152_H3K4ME3 female  S       49999122        2.336102
NA19153_H3K27AC male    seqCG   47258078        1.441191
NA19153_H3K4ME1 male    seqCG   44412125        1.22265
NA19153_H3K4ME3 male    seqCG   49997611        2.187341
NA19159_H3K27AC female  seqCG   49998376        1.44824
NA19159_H3K4ME1 female  seqCG   49998591        1.200668
NA19159_H3K4ME3 female  seqCG   49667647        2.150499
NA19160_H3K27AC male    S       50005022        1.48192
NA19160_H3K4ME1 male    S       38716415        1.156315
NA19160_H3K4ME3 male    S       50000412        2.122729
NA19171_H3K27AC male    S       50000126        1.513501
NA19171_H3K4ME1 male    S       44370858        1.267649
NA19171_H3K4ME3 male    S       50000772        2.166571
NA19172_H3K27AC female  S       49104654        1.503319
NA19172_H3K4ME1 female  S       49210765        1.191901
NA19172_H3K4ME3 female  S       50000697        2.016419
NA19190_H3K27AC female  S       49994393        1.399328
NA19190_H3K4ME1 female  S       50000389        1.17921
NA19190_H3K4ME3 female  S       49998468        2.168821
NA19200_H3K27AC male    S       41731835        1.414809
NA19200_H3K4ME1 male    S       47642590        1.176292
NA19200_H3K4ME3 male    S       45078847        1.974281
NA19201_H3K27AC female  seqCG   49999753        1.408593
NA19201_H3K4ME1 female  seqCG   44360221        1.22193
NA19201_H3K4ME3 female  seqCG   50000224        2.134587
NA19203_H3K27AC male    I       50002572        1.511657
NA19203_H3K4ME1 male    I       28916690        1.22179
NA19203_H3K4ME3 male    I       49999975        2.218758
NA19204_H3K27AC female  S       50001838        1.476622
NA19204_H3K4ME1 female  S       29116032        1.261139
NA19204_H3K4ME3 female  S       49112384        2.240348
NA19206_H3K27AC female  I       50000265        1.481458
NA19206_H3K4ME1 female  I       47168405        1.218239
NA19206_H3K4ME3 female  I       49995947        2.099048
NA19207_H3K27AC male    S       45956233        1.447882
NA19207_H3K4ME1 male    S       40790901        1.225281
NA19207_H3K4ME3 male    S       45753788        2.353469
NA19209_H3K27AC female  S       49999087        1.473023
NA19209_H3K4ME1 female  S       44187956        1.252347
NA19209_H3K4ME3 female  S       42636590        2.155805
NA19210_H3K27AC male    seqCG   44513625        1.449147
NA19210_H3K4ME1 male    seqCG   50000642        1.18431
NA19210_H3K4ME3 male    seqCG   49999716        2.074734
NA19222_H3K27AC female  S       49996049        1.52692
NA19222_H3K4ME1 female  S       45825147        1.267856
NA19222_H3K4ME3 female  S       50005036        2.32261
NA19223_H3K27AC male    S       44899526        1.551623
NA19223_H3K4ME1 male    S       47249676        1.23434
NA19223_H3K4ME3 male    S       49998454        2.245399
NA19225_H3K27AC female  S       49997214        1.441194
NA19225_H3K4ME1 female  S       49823124        1.163494
NA19225_H3K4ME3 female  S       49076727        2.241341
NA19257_H3K27AC female  S       45865734        1.508131
NA19257_H3K4ME1 female  S       40369876        1.317592
NA19257_H3K4ME3 female  S       42524013        2.241545
NA18486_H3K27AC male    chromoPaper     49993827        1.511349
NA18486_H3K4ME1 male    chromoPaper     50005843        1.299634
NA18486_H3K4ME3 male    chromoPaper     49987633        2.330498
NA19238_H3K27AC female  chromoPaper     49990552        1.536143
NA19238_H3K4ME1 female  chromoPaper     50000669        1.242826
NA19238_H3K4ME3 female  chromoPaper     50006278        2.011623
NA19239_H3K27AC male    chromoPaper     49989221        1.605039
NA19239_H3K4ME1 male    chromoPaper     49996977        1.277908
NA19239_H3K4ME3 male    chromoPaper     49990043        2.049215
